,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
002409.XSHE,雅克科技,YKKJ,2010-05-25,2200-01-01,stock,002409.XSHE,47592.7678,31852.2747,547.3168,366.3012,化学原料和化学制品制造业,半导体材料,半导体材料III,OLED|海工装备|深股通|天然气|磷化工|融资融券|转融券标的|专精特新|国家大基金持股|光刻胶|氟化工概念|芯片概念|MSCI概念|中芯国际概念|24中报预增
002410.XSHE,广联达,GLD,2010-05-25,2200-01-01,stock,002410.XSHE,165194.4342,157011.842,156.4391,148.6902,软件和信息技术服务业,行业应用软件,垂直应用软件III,物联网|人工智能|国产软件|智慧城市|数字孪生|装配式建筑|深股通|京津冀一体化|雄安新区|融资融券|数据要素|年报预增
002411.XSHE,必康退,BKT,2010-05-25,2023-07-11,stock,002411.XSHE,,,,,,,,
002412.XSHE,汉森制药,HSZY,2010-05-25,2200-01-01,stock,002412.XSHE,50320.0,49784.5,32.5067,32.1608,医药制造业,中成药,中药III,医药电商|农业种植|融资融券|转融券标的|幽门螺杆菌概念|仿制药一致性评价|肝炎概念|创新药|流感
002413.XSHE,雷科防务,LKFW,2010-05-28,2200-01-01,stock,002413.XSHE,131934.0725,129543.0497,139.8501,137.3156,计算机、通信和其他电子设备制造业,国防装备,军工电子III,汽车电子|人工智能|无人驾驶|5G|大飞机|无人机|智能交通|军工|军民融合|深股通|京津冀一体化|融资融券|参股新三板|转融券标的|比亚迪概念|毫米波雷达|数据要素|太赫兹|低空经济|军工信息化|商业航天|芯片概念|养老概念|华为概念|车联网(车路协同)|6G|DeepSeek
002414.XSHE,高德红外,GDHW,2010-07-16,2200-01-01,stock,002414.XSHE,427073.6108,339861.2431,535.1232,425.8461,计算机、通信和其他电子设备制造业,国防装备,军工电子III,安防|汽车电子|无人驾驶|无人机|智能电网|智能家居|军工|军民融合|深股通|融资融券|传感器|机器视觉|毫米波雷达|华为昇腾|低空经济|商业航天|机器人概念|芯片概念|MSCI概念|华为概念|车联网(车路协同)
002415.XSHE,海康威视,HKWS,2010-05-28,2200-01-01,stock,002415.XSHE,916487.155,904640.2179,2866.7718,2829.7146,计算机、通信和其他电子设备制造业,安防设备及其他,安防设备III,安防|物联网|工业互联网|汽车电子|人工智能|无人驾驶|人脸识别|边缘计算|大数据|无人机|智慧城市|智能家居|智能交通|杭州亚运会|工业4.0|深股通|证金持股|融资融券|数据安全|智慧政务|数字乡村|机器视觉|国企改革|足球概念|机器人概念|MSCI概念|养老概念
002416.XSHE,爱施德,ASD,2010-05-28,2200-01-01,stock,002416.XSHE,123928.1806,122390.4304,130.3724,128.7547,批发业,专营零售,专业连锁III,阿里|互联网金融|物联网|区块链|人工智能|虚拟现实|新零售|创投|深股通|融资融券|粤港澳自贸区|储能|苹果概念|参股保险|锂电池概念
002417.XSHE,深南退,SNT,2010-06-01,2023-07-07,stock,002417.XSHE,,,,,,,,
002418.XSHE,康盛股份,KSGF,2010-06-01,2200-01-01,stock,002418.XSHE,113640.0,113639.7038,51.7062,51.7061,通用设备制造业,家电零部件及其他,家电零部件III,石墨烯|数据中心|超级电容|无人驾驶|充电桩|家用电器|储能|动力电池回收|汽车热管理|氢能源|锂电池概念
